name,label
"chocolate, dark, 70-85% cacao solids",Dark chocolate
"cock brand, palm sugar, upc: 084909007285",Palm sugar
"cocoa, dry powder, unsweetened",Cocao powder
"cookies, graham crackers, plain or honey, lowfat",Graham crackers
"cookies, vanilla wafers, lower fat",Vanilla wafers
"corn, sweet, white, raw",White corn
"cornmeal, degermed, unenriched, yellow",Cornmeal
cornstarch,Cornstarch
"couscous, dry",Couscous
"cranberries, dried, sweetened",Dried cranberries
"cranberry juice, unsweetened",Cranberry juice
"cranberry sauce, canned, sweetened",Cranberry sauce
"cream, fluid, heavy whipping",Whipping cream
"cream, sour, cultured",Sour cream
"cream, whipped, cream topping, pressurized",Whipped cream
"creole seasoning, upc: 071998120018",Creole seasoning
"croutons, plain",Croutons
"crustaceans, crab, alaska king, imitation, made from surimi",Imitation crab
"crustaceans, shrimp, raw (not previously frozen)",Shrimp
"currants, zante, dried",Zante currants
"dates, deglet noor",Noor dates
"delallo, italian seasoned breadcrumbs, upc: 072368104621",Seasoned breadcrumbs
"denny's, hash browns",Hashbrowns
"dill weed, fresh",Dill weed
dulce de leche,Dulce de leche
"edamame, frozen, prepared",Frozen edamame
"egg substitute, powder",Egg substitute powder
"egg, white, raw, fresh",Egg whites
eggnog,Eggnog
"fast foods, coleslaw",Coleslaw
"fat, goose",Goose fat
"fennel, bulb, raw",Fennel bulb
"figs, dried, uncooked",Dried figs
"fish, catfish, channel, wild, raw",Catfish
"fish, cod, atlantic, raw",Cod
"fish, halibut, greenland, raw",Halibut
"fish, salmon, atlantic, wild, raw",Salmon
"fish, tilapia, raw",Tilapia
"fresh red onions, upc: 888670013229",Red onions
"garlic chili sauce, upc: 041224872707",Garlic chili sauce
"ginger root, raw",Ginger root
"goji berries, dried",Dried goji berries
"goldsaft sugar beet syrup, upc: 4000412010808",Sugar beet syrup
"grapefruit juice, white, raw",White grapefruit juice
"grapes, red or green (european type, such as thompson seedless), raw",Grapes
"ground turkey, raw",Ground turkey
honey,Honey
"horseradish, prepared",Horseradish
"house of pasta, pizza dough, upc: 074708983316",Pizza dough
"ice creams, chocolate",Chocolate ice cream
"ice creams, strawberry",Strawberry ice cream
"ice creams, vanilla",Vanilla ice cream
"il villaggio, mascarpone cheese, upc: 037982981300",Mascarpone cheese
"jams and preserves, apricot",Apricot jam
"kale, raw",Kale
"kashi, steam meal, chicken fettuccine, frozen entree",Frozen chicken fettuccine
"kielbasa, polish, turkey and beef, smoked",Kielbasa
"kumquats, raw",Kumquats
"la flor, steak seasoning, upc: 077636022157",Steak seasoning
lard,Lard
"leavening agents, baking powder, double-acting, sodium aluminum sulfate",Baking powder
"leavening agents, baking soda",Baking soda
"leavening agents, yeast, baker's, active dry",Yeast
"leeks, (bulb and lower leaf-portion), raw",Leeks
"lemon juice, raw",Lemon juice
"lemonade, frozen concentrate, white, prepared with water",Frozen lemonade concentrate
"lentils, raw",Lentils
"lettuce, cos or romaine, raw",Romaine lettuce
"lime juice, raw",Lime juice
"limeade, frozen concentrate, prepared with water",Frozen limeade concentrate
"mango nectar, canned",Mango nectar
"margarine-like, margarine-butter blend, soybean oil and butter",Margarine-butter blend
"margarine, regular, 80% fat, composite, stick, without salt",Unsalted margarine
"margarine, regular, hard, soybean (hydrogenated)",Margarine (soybean)
"marketside, balsamic vinaigrette dressing, upc: 681131070317",Balsamic vinaigrette dressing
"marmalade, orange",Orange marmalade
"martha white foods, martha white's buttermilk biscuit mix, dry",Buttermilk biscuit mix
"mcdonald's, spicy buffalo sauce",Spicy buffalo sauce
"meatballs, meatless",Meatless meatballs
"melons, cantaloupe, raw",Cantaloupe
"melons, honeydew, raw",Honeydew
"milk, buttermilk, fluid, cultured, lowfat",Buttermilk
"milk, canned, condensed, sweetened",Condensed milk
"milk, fluid, 1% fat, without added vitamin a and vitamin d",Milk
"mini semi-sweet chocolate baking chips, upc: 719283140692",Semi-sweet chocolate chips
miso,Miso
molasses,Molasses
"mollusks, scallop, (bay and sea), cooked, steamed",Mollusks
"mushrooms, portabella, raw",Portabello mushrooms
"mushrooms, shiitake, raw",Shiitake mushrooms
"mushrooms, white, raw",White mushrooms
"mustard, prepared, yellow",Mustard
"nectarines, raw",Nectarines
"noodles, egg, dry, unenriched",Egg noodles
"noodles, japanese, soba, dry",Soba noodles
"nuts, almonds",Almonds
"nuts, cashew nuts, raw",Cashew nuts
"nuts, chestnuts, european, dried, peeled",Chestnuts
"nuts, hazelnuts or filberts",Hazelnuts
"nuts, macadamia nuts, raw",Macademia nuts
"nuts, pecans",Pecans
"nuts, pine nuts, dried",Pine nuts
"nuts, pistachio nuts, raw",Pistachio nuts
"nuts, walnuts, english",Walnuts
"oat bran, raw",Oat bran
oats,Oats
"oil, canola",Canola oil
"oil, corn, peanut, and olive",Peanut/corn oil
"oil, olive, salad or cooking",Olive oil
"oil, safflower, salad or cooking, high oleic (primary safflower oil of commerce)",Safflower oil
"oil, sesame, salad or cooking",Sesame oil
okara,Okara
"okra, raw",Okra
"olives, ripe, canned (small-extra large)",Olives
"onions, raw",Onions
"onions, spring or scallions (includes tops and bulb), raw",Scallions
"orange juice, raw",Orange juice
"pancakes, plain, dry mix, complete (includes buttermilk)",Pancake mix
"papayas, raw",Papayas
"parsley, fresh",Parsley
"parsnips, raw",Parsnips
"pascha, organic bitter-sweet dark chocolate chips, upc: 842638005022",Bittersweet dark chocolate chips
"passion-fruit juice, yellow, raw",Passion-fruit juice
"peaches, yellow, raw",Peaches
"peanut butter, smooth style, without salt",Peanut butter
"pears, raw",Pears
"peas, green, frozen, unprepared",Frozen peas
"pectin, unsweetened, dry mix",Pectin
"peppermint, fresh",Peppermint
"pepperoni, beef and pork, sliced",Pepperoni slices
"peppers, ancho, dried",Dried ancho pepper
"peppers, jalapeno, raw",Jalapeno peppers
"peppers, sweet, green, raw",Green peppers
phyllo dough,Phyllo dough
"pickle relish, sweet",Relish
"pickles, cucumber, sour",Pickles
"pineapple juice, canned or bottled, unsweetened, without added ascorbic acid",Pineapple juice
"pineapple, raw, all varieties",Pineapple
"plums, raw",Plums
"pomegranate juice, bottled",Pomegranate juice
"pork sausage, link/patty, unprepared",Pork sausage
"pork, fresh, loin, country-style ribs, separable lean only, raw",Pork ribs
"pork, fresh, loin, tenderloin, separable lean only, raw",Pork tenderloin
"potatoes, raw, skin",Potatoes
"pretzels, soft, unsalted",Pretzels
"puddings, tapioca, ready-to-eat",Tapioca pudding
"pumpkin, raw",Pumpkin
"quinoa, uncooked",Quinoa
"radicchio, raw",Radicchio
"radishes, raw",Radishes
"raisins, seeded",Raisins
"raspberries, raw",Raspberries
"rice flour, white, unenriched",Rice flour
"rice vinegar, upc: 4979435030332",Rice vinegar
"rice, white, long-grain, regular, unenriched, cooked without salt",White rice
"roland, seasoned rice wine vinegar, upc: 041224705142",Rice wine vinegar
"salad dressing, caesar dressing, regular",Caesar salad dressing
"salad dressing, italian dressing, commercial, regular",Italian salad dressing
"salad dressing, mayonnaise, regular",Mayonnaise
"salad dressing, ranch dressing, regular",Ranch dressing
"salt, table",Salt
"sauce, barbecue",Barbecue sauce
"sauce, fish, ready-to-serve",Fish sauce
"sauce, hoisin, ready-to-serve",Hoisin sauce
"sauce, hot chile, sriracha",Sriracha sauce
"sauce, oyster, ready-to-serve",Oyster sauce
"sauce, pasta, spaghetti/marinara, ready-to-serve",Spaghetti sauce
"sauce, peppers, hot, chili, mature red, canned",Chili peppers
"sauce, pesto, classico, basil pesto, ready-to-serve",Basil pesto sauce
"sauce, pesto, ready-to-serve, refrigerated",Pesto sauce
"sauce, ready-to-serve, pepper, tabasco",Hot sauce
"sauce, salsa, ready-to-serve",Salsa
"sauce, teriyaki, ready-to-serve",Teriyaka sauce
"sauce, worcestershire",Worcestershire sauce
"sauerkraut, canned, solids and liquids",Sauerkraut
"seasoning mix, dry, taco, original",Taco seasoning
"seeds, chia seeds, dried",Chia seeds
"seeds, flaxseed",Flaxseed
"seeds, hemp seed, hulled",Hemp seed
"seeds, pumpkin and squash seeds, whole, roasted, without salt",Roasted pumpkin seeds
"seeds, sesame butter, tahini, from roasted and toasted kernels (most common type)",Tahini sauce
"seeds, sesame seeds, whole, dried",Sesame seeds
"seeds, sunflower seed kernels, dried",Sunflower seeds
"semolina, unenriched",Semolina
"shallots, raw",Shallots
"sherbet, orange",Orange sherbert
"shortening confectionery, coconut (hydrogenated) and or palm kernel (hydrogenated)",Confectionery shortening
"shortening, vegetable, household, composite",Vegetable shortening
"smart soup, indian bean masala",Masala soup
"snacks, popcorn, air-popped (unsalted)",Popcorn
"snacks, tortilla chips, light (baked with less oil)",Tortilla chips
"sorghum flour, refined, unenriched",Sorghum flour
"soup, beef broth or bouillon canned, ready-to-serve",Beef broth
"soup, chicken broth or bouillon, dry",Chicken brouth
"soup, cream of chicken, canned, condensed",Cream of chicken soup
"soup, swanson chicken broth 99% fat free",Swanson chicken broth
"soup, vegetable broth, ready to serve",Vegetable broth
soy sauce made from soy (tamari),Soy sauce
"soymilk, original and vanilla, unfortified",Soy milk
"spartan, real semi-sweet chocolate baking chips, upc: 011213162966",Semi-sweet baking chocolate chips
"spices, anise seed",Anise seed
"spices, basil, dried",Basil
"spices, bay leaf",Bay leaves
"spices, caraway seed",Caraway seed
"spices, cardamom",Cardamom
"spices, chili powder",Chili powder
"spices, cinnamon, ground",Cinnamon
"spices, cloves, ground",Cloves
"spices, coriander seed",Coriander
"spices, cumin seed",Cumin
"spices, curry powder",Curry Powder
"spices, fennel seed",Fennel seed
"spices, fenugreek seed",Fenugreek seed
"spices, garlic powder",Garlic powder
"spices, ginger, ground",Ground ginger
"spices, marjoram, dried",Dried marjoram
"spices, nutmeg, ground",Ground nutmeg
"spices, onion powder",Onion powder
"spices, oregano, dried",Dried oregano
"spices, paprika",Paprika
"spices, parsley, dried",Dried parsely
"spices, pepper, black",Black pepper
"spices, pepper, red or cayenne",Red pepper
"spices, poppy seed",Poppy seed
"spices, pumpkin pie spice",Pumpkin pie spice
"spices, rosemary, dried",Dried rosemary
"spices, saffron",Saffron
"spices, tarragon, dried",Dried tarragon
"spices, thyme, dried",Dried thyme
"spices, turmeric, ground",Ground turmeric
"spinach, raw",Spinach
"squash, summer, zucchini, includes skin, raw",Zucchini
"squash, winter, butternut, raw",Butternut squash
"strawberries, raw",Strawberries
"sugars, brown",Brown sugar
"sugars, granulated",Granulated sugar
"sugars, powdered",Powdered sugar
"sweet potato, raw, unprepared",Sweet potato
"sweetener, herbal extract powder from stevia leaf",Stevia leaf extract
"sweetener, syrup, agave",Agave syrup
"syrup, cane",Cane syrup
"syrup, maple, canadian",Maple syrup
"syrups, corn, light",Corn syrup
"syrups, grenadine",Grenadine syrup
"syrups, sugar free",Sugar-free syrup
"tamarinds, raw",Tamarind
"tangerines, (mandarin oranges), raw",Tangerines
"terra dolce, organic chipotle dried chile peppers, upc: 700360007144",Dried chipotle pepper
"tofu, raw, regular, prepared with calcium sulfate",Tofu
"tomato products, canned, puree, without salt added",Tomato puree
"tomato sauce, canned, no salt added",Tomato sauce
"tomatoes, red, ripe, raw, year round average",Tomatoes
"tomatoes, sun-dried",Sun-dried tomatoes
"turnips, raw",Turnips
vanilla extract,Vanilla extract
"vinegar, balsamic",Balsamic vinegar
"vinegar, cider",Cider vinegar
"vinegar, distilled",Distilled vinegar
"vinegar, red wine",Red wine vinegar
vital wheat gluten,Wheat gluten
"wasabi, root, raw",Wasabi root
"water, bottled, generic",Bottled water
"watermelon, raw",Watermelon
"wei-chuan, five spice powder, upc: 072869234643",Five-spice powder
"wheat flour, white, all-purpose, unenriched",All-purpose flour
"wheat flour, white, cake, enriched",Cake flour
"wheat flours, bread, unenriched",Bread flour
"wheat germ, crude",Wheat germ
"wheat, durum",Durum wheat
"wild rice, raw",Wild rice
"xanthan gum, upc: 071518021764",Xanthan gum
"yogurt, greek, plain, nonfat",Greek yogurt
"yogurt, vanilla, non-fat",Yogurt
